commonName,log2relT
IKI3,0.1424869
SWC7,-0.03
REH1,0.0337035
STE23,0.1212314
CST9,0
SKI2,0.068387
DUS3,0.1137369
CDC73,0.498
YLR419W,0.0205809
TUS1,0
MAG2,0.005
CRN1,-0.0777045
CNA1,0.0159
ECM30,0.2588098
CAR2,0.2150787
SIR3,0.0231577
LEU3,-0.0798925
RIF2,-0.110608
YPT7,-0.1748084
GIS4,0.1515189
RAD33,-0.0126654
UBX2,0.3660381
PPZ1,0.0003
YOX1,0.1367819
SRC1,0.1447996
CGI121,0.532
VPS71,0.2263921
GAL80,0.0817761
SML1,-0.1108196
HUG1,0.0697124
PIF1,0.2741241
MFT1,0.1046851
ITT1,0
DAK1,-0.0447951
TCB3,-0.0408414
FPR3,-0.0325196
HMG1,0.07
WAR1,0.1143005
YML082W,-0.0333564
UFO1,0.0509512
RAD10,0.0208726
ARG81,-0.0284216
CUE4,-0.0554951
CAC2,-0.1734511
NUP188,0.1066545
PML39,0.0161014
ZDS2,0.0182874
BUL2,-0.02301
DAT1,-0.0598511
NAB6,0.1091519
NGL3,0.0475302
YML119W,-0.0472277
GTR1,0.2378552
PHO84,0
TUB3,0.1913779
MSC1,0.147795
CLU1,0.041678
BUD22,0.6741483
SOK2,-0.0046019
STB4,0.1040998
MAC1,-0.0533779
UBC7,-0.0730018
CSI1,0
PEX12,-0.03
RSF1,0.0611102
MSN2,-0.0514468
SUB1,0.0656353
ARG80,0.0040929
IOC4,0.068
CSM3,0.0147617
BUB2,0.0147093
KAR5,0.0592659
UBX4,-0.0249176
NAT4,-0.0467376
MOT3,0.0819187
ABF2,0.0143554
YMR074C,0.0818004
RCO1,0.0017119
CTF18,0.2087631
NAM7,0.0728635
NPL6,0.75739
MUB1,-0.0375968
YPK2,-0.0208
YKU80,0.0225074
ASI1,-0.004817
SAS2,-0.167
POM152,0.0047692
REC114,-0.0466526
GAT2,0.0963497
PSO2,-0.0139261
RIM11,0.0399
NDE1,0.0014032
NUP53,0.0876015
TPP1,0.0021291
MSS11,-0.0278342
MLH1,-0.0590445
HOT1,0.1635806
DDR48,0.1648691
MMT1,0.1073688
SPT21,0.4187249
RGM1,0.0753233
HSC82,-0.0407856
SGS1,0.22559
CLN1,-0.0134991
ERG2,0.2250179
SKY1,0.24
UBP8,0.0903323
MRE11,0.3111985
PEP5,0.277781
TRI1,0.1078521
RNH1,0.1545846
FAA4,0.0480242
GFD1,-0.0182046
SAP30,0.0599321
CUE1,0.0550141
TMA23,0.5582922
ZDS1,0.03
BUL1,0.0272215
DSK2,0.1962235
CAT8,0.0022959
NGL2,0.0466316
DSS1,0.0204013
JNM1,0.3519461
YME2,0.102653
UBP15,0.146
FKS3,0.1268368
YMR310C,0.0094914
ELP6,0.3858911
YMR315W,-0.0174041
HRB1,0.0723761
ASI3,-0.0299532
IDP3,0.0047535
PUB1,0.1703275
ARK1,0.0145
HDA1,0.0695519
FAP1,0.0046464
CRZ1,-0.0420867
HHF2,-0.0165204
HHT2,-0.1214043
SIW14,0.1948
SFB2,-0.035
MSG5,0.0019
OCA2,0.1283
ARP5,0.05
FKH2,-0.0335107
MKS1,-0.0092185
PMS1,0.1619456
PHO23,0.2530861
OCA1,0.091
INP52,-0.0923649
YAF9,0.2805795
TEP1,-0.019
CPT1,-0.0792151
FYV6,0.033345
EAF7,0.2018161
MEP2,0
LSM7,0.2031014
YCK2,-0.0051
ASI2,0.029344
SKO1,-0.0403433
NOP13,-0.0005572
NPR1,-0.0224
PSY2,-0.0384741
SPS18,-0.0848207
RTT106,0.040239
SSB2,0.0686957
MER1,-0.0435178
IES2,0.334143
MGS1,0.0236901
SQS1,0.0998094
JJJ1,0.2118414
ELA1,0.0524674
LAP3,0.0142724
ZWF1,0.1211956
VPS75,0.2189442
RPA49,0.2718364
RAD50,0.2843543
GIS2,0.0138944
SIP3,-0.0081932
CUS2,-0.08
CAF40,0.0991535
PCL1,-0.0575824
CLA4,0.1166
TRF5,-0.0034468
MCK1,0.3942
SKP2,0.098915
DAL82,0.029907
LEM3,-0.0661644
RPD3,0.2138069
SNF12,0.4330565
MPP6,0.0686038
SSK2,-0.0597
HUB1,-0.0717907
PPG1,-0.0641
SOL1,0.0146965
BRE5,0.0045727
YNR063W,0.061769
AIF1,-0.0238742
PHO80,0.009586
SIN3,0.3838383
TOP1,0.1636802
HTZ1,0.2223924
HRD1,0.0289514
CMK2,0.0444
ESC8,-0.0095228
YAP7,-0.0621435
NOP12,0.2345019
NGL1,-0.0662238
NTG2,0.0304837
PSK2,-0.0166
CRT10,0.0244117
RTG1,0.1225435
THP1,0.8704374
REX4,0.0289704
DUF1,0.0321122
HAL9,-0.0085772
MSH2,0.0522232
TRM10,-0.0840621
NDJ1,0.0084776
INO4,0.5248812
MDY2,-0.0139392
SKM1,-0.0277
PAP2,0.0453217
MSN1,0.0426563
RRI2,-0.0050356
CTR9,0.9926429
SPT20,0.8026938
YOL159C,0.0441418
RRP6,0.6815247
DNL4,0.0002325
SGT2,0.0500472
RTS1,0.087
AHC1,0.0276984
HST3,-0.0345945
STI1,0.1072465
CIN5,0.016936
HMS1,-0.03
EXO1,0.1235309
HIR2,-0.088401
CKB2,0.24
CUE5,0.0889614
STD1,0.0600248
ASE1,0.047
CKA2,0.0143
YNG1,-0.0149825
PTC5,0.0137
TMA46,-0.0227917
CEX1,0.010935
UBP2,-0.0275683
ARP8,0.5783018
ELG1,-0.0696353
NFI1,0.0280144
YRR1,0.02
LCB4,-0.0155
YRM1,0.0130563
GSP2,-0.0456565
IES4,0.0596768
SLK19,0.0829818
MCA1,-0.2422386
PTP2,0.0031
NPT1,0.0438572
SAS5,-0.0918228
WTM2,0.0258361
WTM1,0.0017629
MKK1,-0.0708
KIN4,0.058
PUS7,0.0527509
HNT3,-0.0901144
HRK1,0.0525
PAC1,0.0839885
RFM1,-0.0134874
SNF2,0.3703929
UAF30,0.6009261
MBF1,0.0659261
ISW2,-0.0751213
SPS4,0.0872984
SFG1,0.0226628
MIP1,-0.0883982
TEA1,0.0734016
UBC11,0.0096502
TYE7,0.032631
MEK1,-0.0123
MSC6,-0.045155
HAP5,0.1136031
PIP2,-0.0637903
RAD17,0.1028436
RDR1,-0.0679995
PHR1,-0.1227423
HAT1,0.033
ULA1,0.009748
CHL1,0.1275927
HST2,-0.0115704
CTF19,0.0938794
ECM23,0.0464803
RAD1,0.2528102
RMI1,0.2368531
PHO85,0.5035
SRL4,-0.0425505
EGD1,0.0560314
ELC1,0.1277556
SGF11,0.1589255
DIG1,0.2414036
LEE1,0.0994872
LGE1,0.1610249
CWC27,0.017772
UBP16,-0.037
BRO1,0.1945969
RLM1,0.0569885
ERI1,0.0805655
ELP4,0.0939761
YPL109C,0.0395
HOS3,-0.0007756
DBP1,-0.0649855
RNY1,0.3186322
KAP120,0.7271465
HHO1,0.0241645
RDS2,0.0934858
UME1,0.0079949
MKK2,-0.0256
POC4,0.3358673
YPL150W,-0.0866
PEP4,-0.0578935
TGS1,0.1345851
MLH3,0.06922
SET6,0.008808
REV3,-0.0400794
TRE1,-0.0710831
CUP9,-0.1030755
PPQ1,0.0871
TCO89,0.2807054
CTI6,0.0024858
MRN1,0.0412639
UIP4,-0.0329504
PRM3,0.0458037
RSA1,0.5165644
AFT2,0.0437269
TPK2,0.0095
PUS1,0.0578801
LEA1,0.5178021
YPL216W,0.156335
PCL8,-0.113082
NEW1,0.1817562
USV1,-0.0375505
CIN2,0.0109187
YPL247C,-0.0415434
GAL4,-0.0526174
VIK1,-0.012968
HFI1,0.8007279
CLN2,0.0462345
YPL260W,0.0569559
ACM1,0.0965373
PLC1,0.614895
REC8,-0.0586459
HAA1,-0.0458063
SUT2,-0.0194962
YPR015C,0.135558
YPR022C,0.0165109
EAF3,0.0184209
CSR2,-0.0383024
NTO1,0.156703
TIP41,-0.0420587
PUF2,0.044401
MCM16,0.0548517
SMK1,-0.0277
ROX1,0.0001599
HOS1,0.0470359
LTP1,-0.0007
OPY2,-0.0580457
YPR078C,0.0226579
ASR1,-0.0151598
SNT309,0.7687228
CLB2,-0.1155715
CLB5,0.0346108
YLH47,-0.1234581
CTF4,0.3260376
KAR3,0.3128421
NCE102,0.052629
URN1,0.1303966
NCA2,0.0587647
GPH1,-0.0340618
MMS1,0.0131405
BSP1,0.0212392
VPS4,0.197573
YPR174C,0.0469975
HDA3,0.0203692
SKI3,0.0772651
ARR1,0.022403
