Accession,Gene,NH4,Gln,Phe,Ile
P09457,ATP5,8553.602999,13108.42778,16584.56285,18392.08982
P09547,SWI1,25.53171831,32.99968246,46.64641858,48.05358924
P09620,KEX1,45.73528883,60.98150843,77.82972983,95.26491141
P09624,LPD1,3787.503734,7379.788436,5781.010008,6531.965913
P09733,TUB1,413.996466,517.1105634,677.8084905,646.151299
P09734,TUB3,517.8581205,622.7720679,803.8871144,906.4302575
P09798,CDC16,11.62063493,15.21501234,23.33773651,28.76366135
P09938,RNR2,634.9550579,726.7997396,830.6007849,969.2077961
P09950,HEM1,121.1965252,202.3472666,264.1049959,287.3867049
P09959,SWI6,43.45558006,67.03167508,91.2573514,86.32285424
P0C0T4,RPS25B,3458.617302,4204.31357,5873.759796,6319.165293
P0C0V8,RPS21A,4033.228311,4491.321434,5215.970878,4950.809293
P0C0W1,RPS22A,5854.83186,7811.90468,13548.70025,12839.87778
P0C0W9,RPL11A,19007.3521,28857.4325,30256.91097,37965.88081
P0C0X0,RPS28B,1229.526301,1617.909162,1957.91168,2841.50147
P0C2H6,RPL27A,263.3812062,378.0543233,478.3789178,630.4271974
P0C2H8,RPL31A,1472.995456,2260.901588,2865.770341,3606.862024
P0C2H9,RPL31B,1309.678351,1982.745673,2468.919207,3173.904848
P0C5N3,YGL041W-A,118.6563056,332.9007459,393.3056689,304.7970826
P0C5R9,YPR170W-B,719.217781,868.486079,1247.569247,665.4527216
P0CE41,HAP1,13.48559858,8.449149695,18.4619931,13.77836286
P0CS90,SSC1,2052.74007,3300.163311,3970.275079,5295.823612
P0CT04,PBI2,1261.529248,2077.177592,2823.533848,3264.104821
P0CX20,YRF1-1,9.366475081,8.609962056,13.26592333,10.5274188
P0CX23,RPL20A,5454.843582,7416.396597,8704.053225,11158.67417
P0CX26,RPL43B,423.0215171,675.8472498,734.249092,990.573129
P0CX28,RPL42B,149.8212607,205.6510274,280.3550647,291.103859
P0CX29,RPS23A,1201.180526,1373.749155,1885.737725,2224.990142
P0CX31,RPS24A,4357.405029,5164.667295,6140.039677,7371.004812
P0CX34,RPS30B,9209.470182,10512.26763,11332.12908,12670.69434
P0CX36,RPS4B,12300.40726,16584.02043,20184.43772,27117.72693
P0CX38,RPS6B,18821.85838,25885.27525,32232.41996,36367.82711
P0CX39,RPS8A,9510.399802,12777.41372,16253.39263,18690.67326
P0CX41,RPL23A,2708.40234,4146.525856,4818.621119,6635.872145
P0CX44,RPL1B,16606.52343,27093.21115,31085.45509,41545.58336
P0CX45,RPL2A,8053.031662,9914.793759,13668.55001,16414.60734
P0CX47,RPS11A,9023.661864,13465.0959,15946.15933,18507.36829
P0CX49,RPL18A,13199.46917,17263.66692,24237.79439,25713.74014
P0CX51,RPS16A,9116.718567,12187.13207,14888.08591,20527.27284
P0CX53,RPL12A,7973.849144,14123.26809,16017.78655,24166.08578
P0CX56,RPS18B,39890.02332,55849.45877,77204.32776,103381.2669
P0CX79,ASP3-4,30261.64304,16731.15684,36187.18008,30181.37412
P0CX82,RPL19A,41168.51875,52759.75811,70327.56362,79483.62658
P0CX84,RPL35A,2697.823429,4073.412791,5268.307849,6430.040878
P10080,SBP1,1908.373324,2662.202086,3138.463992,3893.891913
P10081,TIF1,10128.21908,11585.66369,14110.04372,16264.56685
P10355,PET122,0.742678214,0.796406192,1.275614244,1.285007983
P10356,YER152C,1.63413703,2.438720411,3.025462337,1.735772855
P10363,PRI1,24.64707443,33.17842017,47.62319355,51.9429748
P10507,MAS1,258.399207,378.3307025,490.4373246,544.2957879
P10591,SSA1,83056.68737,99676.41299,109829.5375,211481.6115
P10592,SSA2,66385.86755,83806.96848,89922.41175,178492.6391
P10614,ERG11,298.0749592,332.4529355,427.6192295,508.0052441
P10622,RPP1B,373.5192692,1199.394403,976.3923176,759.0063897
P10659,SAM1,19813.47251,25522.73584,37618.77539,39787.54056
P10662,MRP1,14.10625286,23.18578497,27.09763392,30.0266755
P10663,MRP2,214.8245562,362.1325827,482.539726,516.4218236
P10664,RPL4A,849.5759415,1137.163638,1465.762541,1749.504682
P10823,GPA2,228.6610047,254.5045675,358.8990556,296.6362555
P10849,MTF2,23.54067961,33.83042599,49.24074103,50.94658692
P10862,RAD18,6.859562835,7.368123575,11.90231845,10.83704378
P10869,HOM3,704.0854529,846.868614,1087.939647,1585.580927
P10961,HSF1,32.82584995,46.81311779,54.09896115,59.76768254
P10962,MAK16,39.83367801,60.70810151,80.05503497,84.71953182
P11075,SEC7,42.59245561,56.83158148,76.54480654,72.18994019
P11076,ARF1,6772.354783,12655.91906,15110.84436,21193.84234
P11154,PYC1,1518.928102,1628.880069,2109.698083,2937.623071
P11325,NAM2,21.01412128,33.54521881,44.28562551,44.78079801
P11353,HEM13,194.7986136,280.0944181,392.1678758,329.3898845
P11412,ZWF1,1139.469933,1746.934845,2264.451196,2306.991321
P11433,CDC24,19.47021302,22.84649936,29.71321439,34.55602278
P11491,PHO8,853.7287594,799.4697296,1301.238643,1269.687079
P11632,NHP6A,16078.87935,16787.07094,22298.74769,20338.49853
P11633,NHP6B,1560.934703,1660.254863,2136.679475,2369.802752
P11655,SEC12,27.11442369,46.25867495,67.30290422,56.36343972
P11709,BIK1,49.95591196,63.03806035,86.93163031,96.7788058
P11745,RNA1,409.7145381,731.3693049,938.1697077,815.8101849
P11747,TAF13,96.8589462,167.9290174,164.4095528,113.03841
P11792,SCH9,107.0055997,114.7629663,154.1730265,168.1609923
P11914,MAS2,244.9772335,397.3116094,486.1668226,747.9927457
P11938,RAP1,14.83103263,19.02366566,23.66294275,26.89140517
P11978,SIR4,1.61906117,1.940296729,2.603603949,2.830788845
P11986,INO1,6144.444373,11399.7726,12581.67499,5359.518986
P12383,PDR1,24.52360692,32.40953259,46.42592762,47.261446
P12385,SUP45,427.4984765,624.30856,739.2680948,941.2388845
P12611,WHI2,182.9174752,239.5406823,294.1951001,358.3344001
P12612,TCP1,779.6847731,1085.144178,1456.433156,1486.059382
P12630,BAR1,3.223138807,5.147079514,3.327789204,4.674105398
P12683,HMG1,240.6031176,295.8803178,405.6976982,474.0485532
P12684,HMG2,56.81942811,60.60263122,87.44169357,84.47597499
P12686,MRP13,2.692917769,4.747595531,6.490371186,4.900817527
P12687,MRP7,45.85179087,75.19666976,96.39547634,111.9843898
P12688,YPK1,41.88300876,62.25580304,78.90648678,79.03040528
P12695,LAT1,1082.71236,1711.351935,2273.253956,2424.958288
P12709,PGI1,21877.06648,17629.75781,24820.95914,20014.52698
P12754,GCD2,101.7988587,127.0210475,186.1279318,164.2352756
P12866,STE6,3.136673762,3.737654166,6.710226484,10.85548121
P12868,PEP5,34.01515304,45.38626691,65.37426767,59.48542042
P12887,UNG1,0.191095551,0.257152148,0.369466956,0.461225538
P12904,SNF4,85.54736275,143.0766222,183.8020252,174.762756
P12945,NAT1,36.20176799,52.98286127,70.96672563,78.79671751
P12954,SRS2,2.52175063,2.730901154,4.256395106,3.634988792
P13185,KIN1,22.66332331,25.29064662,34.03097611,37.67012699
P13186,KIN2,2.528946678,2.623709288,4.018206676,4.183688192
P13188,GLN4,405.5998526,498.2399214,655.9056238,718.2573887
P13259,PCT1,64.88684501,86.89282669,124.2322068,128.229572
P13298,URA5,774.1056587,1372.723011,1768.864344,1442.342426
P13393,SPT15,75.81672658,96.62877112,137.0857054,121.7350042
P13433,RPO41,0.227940628,0.365940402,0.509504688,0.5096469
P13434,HAP3,16.83915512,21.7593106,27.24882401,25.16386829
P13517,CAP2,38.56332176,66.2931713,66.25447808,89.2520888
P13574,STE12,2.746790086,4.186544314,5.723399863,5.123239968
P13586,PMR1,69.22532264,93.55068232,133.2955474,147.1655045
P13663,HOM2,15021.00134,17051.86557,19967.42616,10491.00251
P13856,RSR1,6.3708629,8.445479918,10.3448213,15.63996959
P13902,INO4,1.521348022,2.069301916,2.777738664,1.935551391
P14020,DPM1,2041.535807,2392.546654,3098.507126,3544.674111
P14065,GCY1,188.0784122,254.4939502,289.1215695,297.5366456
P14120,RPL30,3532.106252,5221.425479,6338.11967,7566.474873
P14126,RPL3,9012.656896,13541.09214,16930.19514,19209.58707
P14164,ABF1,94.44885871,156.4180526,190.8826934,227.6318514
P14180,CHS2,8.022618706,11.306872,16.10026739,14.516755
P14306,TFS1,14.51890274,22.7115414,19.94852174,14.68116675
P14540,FBA1,48125.35284,50437.79288,60059.58127,85648.06181
P14680,YAK1,59.3951643,82.50570125,103.5482566,88.94829082
P14681,KSS1,18.66107337,27.59786752,34.91843763,37.07953854
P14682,CDC34,6.644931125,7.384773112,10.22871763,11.29664609
P14693,SAM35,46.41613107,51.80842194,69.74918536,71.97996565
P14737,RAD9,0.522420695,0.582165721,0.930198297,0.761458299
P14741,GCN3,221.8169968,355.2685333,444.8986945,401.7025758
P14742,GFA1,881.7261528,1238.981779,1565.512893,1297.29661
P14743,NMT1,112.4061205,137.1694101,192.2611899,172.3776785
P14747,CMP2,119.9716986,216.4876449,293.2472008,307.9341266
P14772,BPT1,5.232669952,6.545726519,9.869072097,8.113321028
P14832,CPR1,52954.58549,51478.6761,61314.93676,72186.50489
P14843,ARO3,155.0814423,218.1646965,296.7285586,403.8781706
P14904,APE1,773.1469618,962.2322991,1999.682012,1422.554043
P14905,CBS2,14.87669323,21.65805102,30.48678259,32.51488699
P14906,SEC63,13.67405599,21.475345,27.20185993,35.94209106
P14907,NSP1,20.83270597,19.26939905,27.74653653,39.88607846
P14922,CYC8,94.9057956,128.514074,167.5849262,190.834294
P15019,TAL1,51852.85008,62853.29081,87733.5712,61054.79649
P15108,HSC82,16542.27544,22148.86042,25601.04106,36568.26989
P15179,MSD1,1.428722945,1.936228493,2.643272696,3.276512605
P15274,AMD1,80.62118099,99.42788159,129.7820263,141.5888933
P15303,SEC23,587.281858,709.3472723,895.0492086,888.3556146
P15365,DAL5,4434.508939,4099.795787,5590.528928,6703.914495
P15367,SEC11,36.56518943,49.81257215,69.08930651,58.33624566
P15380,PUT4,33.74435942,55.57846141,85.64346612,61.75601675
P15424,MSS116,73.27298496,125.6917856,169.2420076,191.5204686
P15436,POL3,4.76998761,6.556191384,9.509208235,6.896513724
P15442,GCN2,18.40636847,20.0890579,29.63736295,27.177549
